comune,rank,mercato,presenze,quota_pct
Mamoiada,5,Paesi Bassi,225,2.5
Mandas,1,Italia,2713,43.37
Mandas,2,Germania,902,14.42
Mandas,3,Paesi Bassi,621,9.93
Mandas,4,Francia,408,6.52
Mandas,5,Regno Unito,270,4.32
Mara,1,Italia,167,41.54
Mara,2,Spagna,91,22.64
Mara,3,Francia,32,7.96
Mara,4,Germania,21,5.22
Mara,5,Polonia,18,4.48
Maracalagonis,1,Italia,354417,65.78
Maracalagonis,2,Germania,51970,9.65
Maracalagonis,3,Svizzera (incluso Liechtenstein),23291,4.32
Maracalagonis,4,Francia,21605,4.01
Maracalagonis,5,Regno Unito,13564,2.52
Marrubiu,1,Italia,4070,60.31
Marrubiu,2,Francia,779,11.54
Marrubiu,3,Paesi Bassi,396,5.87
Marrubiu,4,Germania,380,5.63
Marrubiu,5,Spagna,286,4.24
Martis,1,Italia,654,32.54
Martis,2,Francia,313,15.57
Martis,3,Germania,308,15.32
Martis,4,Spagna,308,15.32
Martis,5,Belgio,49,2.44
Masainas,1,Italia,7150,61.57
Masainas,2,Francia,1473,12.69
Masainas,3,Germania,1150,9.9
Masainas,4,Polonia,411,3.54
Masainas,5,Svizzera (incluso Liechtenstein),258,2.22
Masullas,1,Italia,236,52.56
Masullas,2,Germania,88,19.6
Masullas,3,Francia,42,9.35
Masullas,4,Estonia,25,5.57
Masullas,5,Austria,12,2.67
Meana Sardo,1,Italia,945,82.39
Meana Sardo,2,Francia,50,4.36
Meana Sardo,3,Grecia,30,2.62
Meana Sardo,4,Germania,17,1.48
Meana Sardo,5,Irlanda,15,1.31
Milis,1,Italia,1686,25.37
