"anno","provincia","comune","mese","macro_tipologia","provenienza","arrivi","presenze"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Polonia","2","33"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Romania","2","8"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Slovenia","9","61"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Altri Paesi dell'Africa","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Sud Africa","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Stati Uniti d'America","10","12"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Brasile","3","6"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Argentina","2","2"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Altri Paesi dell'Asia","4","8"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Australia","1","2"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Piemonte","34","61"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Lombardia","108","221"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Veneto","43","115"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Friuli-Venezia Giulia","5","9"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Liguria","20","31"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Emilia Romagna","47","149"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Toscana","27","70"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Umbria","3","5"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Marche","12","19"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Lazio","59","252"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Abruzzo","30","35"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Campania","34","106"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Puglia","66","239"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Basilicata","1","23"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Calabria","2","3"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Sicilia","21","97"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Sardegna","209","470"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Bolzano","6","20"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Trento","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","6","Non disponibile","Francia","63","120"
"2022","Città metropolitana Cagliari","ASSEMINI","6","Non disponibile","Paesi Bassi","19","96"
"2022","Città metropolitana Cagliari","ASSEMINI","6","Non disponibile","Germania","51","121"
"2022","Città metropolitana Cagliari","ASSEMINI","6","Non disponibile","Regno Unito","11","28"
"2022","Città metropolitana Cagliari","ASSEMINI","6","Non disponibile","Irlanda","3","3"
